id,title,abstract,authors,published_date,source,url,domain_task
11,Designing a Conditional Prior Distribution for Flow-Based Generative Models,"Flow-based generative models have recently shown impressive performance for
conditional generation tasks, such as text-to-image generation. However,
current methods transform a general unimodal noise distribution to a specific
mode of the target data distribution. As such, every point in the initial
source distribution can be mapped to every point in the target distribution,
resulting in long average paths. To this end, in this work, we tap into a
non-utilized property of conditional flow-based models: the ability to design a
non-trivial prior distribution. Given an input condition, such as a text
prompt, we first map it to a point lying in data space, representing an
``average"" data point with the minimal average distance to all data points of
the same conditional mode (e.g., class). We then utilize the flow matching
formulation to map samples from a parametric distribution centered around this
point to the conditional target distribution. Experimentally, our method
significantly improves training times and generation efficiency (FID, KID and
CLIP alignment scores) compared to baselines, producing high quality samples
using fewer sampling steps.","Noam Issachar, Mohammad Salama, Raanan Fattal, Sagie Benaim",2025-02-13 18:58:15.000000,arXiv,http://arxiv.org/abs/2502.09611v1,Machine Learning
12,Score-of-Mixture Training: Training One-Step Generative Models Made Simple,"We propose Score-of-Mixture Training (SMT), a novel framework for training
one-step generative models by minimizing a class of divergences called the
$\alpha$-skew Jensen-Shannon divergence. At its core, SMT estimates the score
of mixture distributions between real and fake samples across multiple noise
levels. Similar to consistency models, our approach supports both training from
scratch (SMT) and distillation using a pretrained diffusion model, which we
call Score-of-Mixture Distillation (SMD). It is simple to implement, requires
minimal hyperparameter tuning, and ensures stable training. Experiments on
CIFAR-10 and ImageNet 64x64 show that SMT/SMD are competitive with and can even
outperform existing methods.","Tejas Jayashankar, J. Jon Ryu, Gregory Wornell",2025-02-13 18:57:20.000000,arXiv,http://arxiv.org/abs/2502.09609v1,Machine Learning
13,Instance Segmentation of Scene Sketches Using Natural Image Priors,"Sketch segmentation involves grouping pixels within a sketch that belong to
the same object or instance. It serves as a valuable tool for sketch editing
tasks, such as moving, scaling, or removing specific components. While image
segmentation models have demonstrated remarkable capabilities in recent years,
sketches present unique challenges for these models due to their sparse nature
and wide variation in styles. We introduce SketchSeg, a method for instance
segmentation of raster scene sketches. Our approach adapts state-of-the-art
image segmentation and object detection models to the sketch domain by
employing class-agnostic fine-tuning and refining segmentation masks using
depth cues. Furthermore, our method organizes sketches into sorted layers,
where occluded instances are inpainted, enabling advanced sketch editing
applications. As existing datasets in this domain lack variation in sketch
styles, we construct a synthetic scene sketch segmentation dataset featuring
sketches with diverse brush strokes and varying levels of detail. We use this
dataset to demonstrate the robustness of our approach and will release it to
promote further research in the field.
  Project webpage: https://sketchseg.github.io/sketch-seg/","Mia Tang, Yael Vinker, Chuan Yan, Lvmin Zhang, Maneesh Agrawala",2025-02-13 18:56:05.000000,arXiv,http://arxiv.org/abs/2502.09608v1,Computer Vision
14,Human-LLM Coevolution: Evidence from Academic Writing,"With a statistical analysis of arXiv paper abstracts, we report a marked drop
in the frequency of several words previously identified as overused by ChatGPT,
such as ""delve"", starting soon after they were pointed out in early 2024. The
frequency of certain other words favored by ChatGPT, such as ""significant"", has
instead kept increasing. These phenomena suggest that some authors of academic
papers have adapted their use of large language models (LLMs), for example, by
selecting outputs or applying modifications to the LLM-generated content. Such
coevolution and cooperation of humans and LLMs thus introduce additional
challenges to the detection of machine-generated text in real-world scenarios.
Estimating the impact of LLMs on academic writing by examining word frequency
remains feasible, and more attention should be paid to words that were already
frequently employed, including those that have decreased in frequency.","Mingmeng Geng, Roberto Trotta",2025-02-13 18:55:56.000000,arXiv,http://arxiv.org/abs/2502.09606v1,Natural Language Processing
15,SelfCite: Self-Supervised Alignment for Context Attribution in Large Language Models,"We introduce SelfCite, a novel self-supervised approach that aligns LLMs to
generate high-quality, fine-grained, sentence-level citations for the
statements in their generated responses. Instead of only relying on costly and
labor-intensive annotations, SelfCite leverages a reward signal provided by the
LLM itself through context ablation: If a citation is necessary, removing the
cited text from the context should prevent the same response; if sufficient,
retaining the cited text alone should preserve the same response. This reward
can guide the inference-time best-of-N sampling strategy to improve citation
quality significantly, as well as be used in preference optimization to
directly fine-tune the models for generating better citations. The
effectiveness of SelfCite is demonstrated by increasing citation F1 up to 5.3
points on the LongBench-Cite benchmark across five long-form question answering
tasks.","Yung-Sung Chuang, Benjamin Cohen-Wang, Shannon Zejiang Shen, Zhaofeng Wu, Hu Xu, Xi Victoria Lin, James Glass, Shang-Wen Li, Wen-tau Yih",2025-02-13 18:55:13.000000,arXiv,http://arxiv.org/abs/2502.09604v1,Natural Language Processing
16,CoT-Valve: Length-Compressible Chain-of-Thought Tuning,"Chain-of-Thought significantly enhances a model's reasoning capability, but
it also comes with a considerable increase in inference costs due to long
chains. With the observation that the reasoning path can be easily compressed
under easy tasks but struggle on hard tasks, we explore the feasibility of
elastically controlling the length of reasoning paths with only one model,
thereby reducing the inference overhead of reasoning models dynamically based
on task difficulty. We introduce a new tuning and inference strategy named
CoT-Valve, designed to allow models to generate reasoning chains of varying
lengths. To achieve this, we propose to identify a direction in the parameter
space that, when manipulated, can effectively control the length of generated
CoT. Moreover, we show that this property is valuable for compressing the
reasoning chain. We construct datasets with chains from long to short for the
same questions and explore two enhanced strategies for CoT-Valve: (1) a precise
length-compressible CoT tuning method, and (2) a progressive chain length
compression approach. Our experiments show that CoT-Valve successfully enables
controllability and compressibility of the chain and shows better performance
than the prompt-based control. We applied this method to QwQ-32B-Preview,
reducing reasoning chains on GSM8K from 741 to 225 tokens with a minor
performance drop (95.07% to 94.92%) and on AIME from 6827 to 4629 tokens, with
only one additional incorrect answer.","Xinyin Ma, Guangnian Wan, Runpeng Yu, Gongfan Fang, Xinchao Wang",2025-02-13 18:52:36.000000,arXiv,http://arxiv.org/abs/2502.09601v1,Artificial Intelligence
17,"GAIA: A Global, Multi-modal, Multi-scale Vision-Language Dataset for Remote Sensing Image Analysis","The continuous operation of Earth-orbiting satellites generates vast and
ever-growing archives of Remote Sensing (RS) images. Natural language presents
an intuitive interface for accessing, querying, and interpreting the data from
such archives. However, existing Vision-Language Models (VLMs) are
predominantly trained on web-scraped, noisy image-text data, exhibiting limited
exposure to the specialized domain of RS. This deficiency results in poor
performance on RS-specific tasks, as commonly used datasets often lack
detailed, scientifically accurate textual descriptions and instead emphasize
solely on attributes like date and location. To bridge this critical gap, we
introduce GAIA, a novel dataset designed for multi-scale, multi-sensor, and
multi-modal RS image analysis. GAIA comprises of 205,150 meticulously curated
RS image-text pairs, representing a diverse range of RS modalities associated
to different spatial resolutions. Unlike existing vision-language datasets in
RS, GAIA specifically focuses on capturing a diverse range of RS applications,
providing unique information about environmental changes, natural disasters,
and various other dynamic phenomena. The dataset provides a spatially and
temporally balanced distribution, spanning across the globe, covering the last
25 years with a balanced temporal distribution of observations. GAIA's
construction involved a two-stage process: (1) targeted web-scraping of images
and accompanying text from reputable RS-related sources, and (2) generation of
five high-quality, scientifically grounded synthetic captions for each image
using carefully crafted prompts that leverage the advanced vision-language
capabilities of GPT-4o. Our extensive experiments, including fine-tuning of
CLIP and BLIP2 models, demonstrate that GAIA significantly improves performance
on RS image classification, cross-modal retrieval and image captioning tasks.","Angelos Zavras, Dimitrios Michail, Xiao Xiang Zhu, Begüm Demir, Ioannis Papoutsis",2025-02-13 18:52:14.000000,arXiv,http://arxiv.org/abs/2502.09598v1,Computer Vision
18,Do LLMs Recognize Your Preferences? Evaluating Personalized Preference Following in LLMs,"Large Language Models (LLMs) are increasingly used as chatbots, yet their
ability to personalize responses to user preferences remains limited. We
introduce PrefEval, a benchmark for evaluating LLMs' ability to infer, memorize
and adhere to user preferences in a long-context conversational setting.
PrefEval comprises 3,000 manually curated user preference and query pairs
spanning 20 topics. PrefEval contains user personalization or preference
information in both explicit and implicit forms, and evaluates LLM performance
using a generation and a classification task. With PrefEval, we evaluated the
aforementioned preference following capabilities of 10 open-source and
proprietary LLMs in multi-session conversations with varying context lengths up
to 100k tokens. We benchmark with various prompting, iterative feedback, and
retrieval-augmented generation methods. Our benchmarking effort reveals that
state-of-the-art LLMs face significant challenges in proactively following
users' preferences during conversations. In particular, in zero-shot settings,
preference following accuracy falls below 10% at merely 10 turns (~3k tokens)
across most evaluated models. Even with advanced prompting and retrieval
methods, preference following still deteriorates in long-context conversations.
Furthermore, we show that fine-tuning on PrefEval significantly improves
performance. We believe PrefEval serves as a valuable resource for measuring,
understanding, and enhancing LLMs' preference following abilities, paving the
way for personalized conversational agents. Our code and dataset are available
at https://prefeval.github.io/.","Siyan Zhao, Mingyi Hong, Yang Liu, Devamanyu Hazarika, Kaixiang Lin",2025-02-13 18:52:03.000000,arXiv,http://arxiv.org/abs/2502.09597v1,Machine Learning
19,KIMAs: A Configurable Knowledge Integrated Multi-Agent System,"Knowledge-intensive conversations supported by large language models (LLMs)
have become one of the most popular and helpful applications that can assist
people in different aspects. Many current knowledge-intensive applications are
centered on retrieval-augmented generation (RAG) techniques. While many
open-source RAG frameworks facilitate the development of RAG-based
applications, they often fall short in handling practical scenarios complicated
by heterogeneous data in topics and formats, conversational context management,
and the requirement of low-latency response times. This technical report
presents a configurable knowledge integrated multi-agent system, KIMAs, to
address these challenges. KIMAs features a flexible and configurable system for
integrating diverse knowledge sources with 1) context management and query
rewrite mechanisms to improve retrieval accuracy and multi-turn conversational
coherency, 2) efficient knowledge routing and retrieval, 3) simple but
effective filter and reference generation mechanisms, and 4) optimized
parallelizable multi-agent pipeline execution. Our work provides a scalable
framework for advancing the deployment of LLMs in real-world settings. To show
how KIMAs can help developers build knowledge-intensive applications with
different scales and emphases, we demonstrate how we configure the system to
three applications already running in practice with reliable performance.","Zitao Li, Fei Wei, Yuexiang Xie, Dawei Gao, Weirui Kuang, Zhijian Ma, Bingchen Qian, Yaliang Li, Bolin Ding",2025-02-13 18:51:12.000000,arXiv,http://arxiv.org/abs/2502.09596v1,Artificial Intelligence
20,Censor Dependent Variational Inference,"This paper provides a comprehensive analysis of variational inference in
latent variable models for survival analysis, emphasizing the distinctive
challenges associated with applying variational methods to survival data. We
identify a critical weakness in the existing methodology, demonstrating how a
poorly designed variational distribution may hinder the objective of survival
analysis tasks--modeling time-to-event distributions. We prove that the optimal
variational distribution, which perfectly bounds the log-likelihood, may depend
on the censoring mechanism. To address this issue, we propose censor-dependent
variational inference (CDVI), tailored for latent variable models in survival
analysis. More practically, we introduce CD-CVAE, a V-structure Variational
Autoencoder (VAE) designed for the scalable implementation of CDVI. Further
discussion extends some existing theories and training techniques to survival
analysis. Extensive experiments validate our analysis and demonstrate
significant improvements in the estimation of individual survival
distributions.","Chuanhui Liu, Xiao Wang",2025-02-13 18:48:04.000000,arXiv,http://arxiv.org/abs/2502.09591v1,Machine Learning
21,Logical forms complement probability in understanding language model (and human) performance,"With the increasing interest in using large language models (LLMs) for
planning in natural language, understanding their behaviors becomes an
important research question. This work conducts a systematic investigation of
LLMs' ability to perform logical reasoning in natural language. We introduce a
controlled dataset of hypothetical and disjunctive syllogisms in propositional
and modal logic and use it as the testbed for understanding LLM performance.
Our results lead to novel insights in predicting LLM behaviors: in addition to
the probability of input (Gonen et al., 2023; McCoy et al., 2024), logical
forms should be considered as orthogonal factors. In addition, we show
similarities and differences between the logical reasoning performances of
humans and LLMs by comparing LLM and human behavioral results.","Yixuan Wang, Freda Shi",2025-02-13 18:46:44.000000,arXiv,http://arxiv.org/abs/2502.09589v1,Natural Language Processing
22,Rolling Ahead Diffusion for Traffic Scene Simulation,"Realistic driving simulation requires that NPCs not only mimic natural
driving behaviors but also react to the behavior of other simulated agents.
Recent developments in diffusion-based scenario generation focus on creating
diverse and realistic traffic scenarios by jointly modelling the motion of all
the agents in the scene. However, these traffic scenarios do not react when the
motion of agents deviates from their modelled trajectories. For example, the
ego-agent can be controlled by a stand along motion planner. To produce
reactive scenarios with joint scenario models, the model must regenerate the
scenario at each timestep based on new observations in a Model Predictive
Control (MPC) fashion. Although reactive, this method is time-consuming, as one
complete possible future for all NPCs is generated per simulation step.
Alternatively, one can utilize an autoregressive model (AR) to predict only the
immediate next-step future for all NPCs. Although faster, this method lacks the
capability for advanced planning. We present a rolling diffusion based traffic
scene generation model which mixes the benefits of both methods by predicting
the next step future and simultaneously predicting partially noised further
future steps at the same time. We show that such model is efficient compared to
diffusion model based AR, achieving a beneficial compromise between reactivity
and computational efficiency.","Yunpeng Liu, Matthew Niedoba, William Harvey, Adam Scibior, Berend Zwartsenberg, Frank Wood",2025-02-13 18:45:56.000000,arXiv,http://arxiv.org/abs/2502.09587v1,Machine Learning
23,Learning to Coordinate with Experts,"When deployed in dynamic environments, AI agents will inevitably encounter
challenges that exceed their individual capabilities. Leveraging assistance
from expert agents-whether human or AI-can significantly enhance safety and
performance in such situations. However, querying experts is often costly,
necessitating the development of agents that can efficiently request and
utilize expert guidance. In this paper, we introduce a fundamental coordination
problem called Learning to Yield and Request Control (YRC), where the objective
is to learn a strategy that determines when to act autonomously and when to
seek expert assistance. We consider a challenging practical setting in which an
agent does not interact with experts during training but must adapt to novel
environmental changes and expert interventions at test time. To facilitate
empirical research, we introduce YRC-Bench, an open-source benchmark featuring
diverse domains. YRC-Bench provides a standardized Gym-like API, simulated
experts, evaluation pipeline, and implementation of competitive baselines.
Towards tackling the YRC problem, we propose a novel validation approach and
investigate the performance of various learning methods across diverse
environments, yielding insights that can guide future research.","Mohamad H. Danesh, Tu Trinh, Benjamin Plaut, Nguyen X. Khanh",2025-02-13 18:41:55.000000,arXiv,http://arxiv.org/abs/2502.09583v1,Machine Learning
24,Optimizing GPT for Video Understanding: Zero-Shot Performance and Prompt Engineering,"In this study, we tackle industry challenges in video content classification
by exploring and optimizing GPT-based models for zero-shot classification
across seven critical categories of video quality. We contribute a novel
approach to improving GPT's performance through prompt optimization and policy
refinement, demonstrating that simplifying complex policies significantly
reduces false negatives. Additionally, we introduce a new
decomposition-aggregation-based prompt engineering technique, which outperforms
traditional single-prompt methods. These experiments, conducted on real
industry problems, show that thoughtful prompt design can substantially enhance
GPT's performance without additional finetuning, offering an effective and
scalable solution for improving video classification systems across various
domains in industry.","Mark Beliaev, Victor Yang, Madhura Raju, Jiachen Sun, Xinghai Hu",2025-02-13 18:31:17.000000,arXiv,http://arxiv.org/abs/2502.09573v1,Computer Vision
25,DiffMS: Diffusion Generation of Molecules Conditioned on Mass Spectra,"Mass spectrometry plays a fundamental role in elucidating the structures of
unknown molecules and subsequent scientific discoveries. One formulation of the
structure elucidation task is the conditional $\textit{de novo}$ generation of
molecular structure given a mass spectrum. Toward a more accurate and efficient
scientific discovery pipeline for small molecules, we present DiffMS, a
formula-restricted encoder-decoder generative network that achieves
state-of-the-art performance on this task. The encoder utilizes a transformer
architecture and models mass spectra domain knowledge such as peak formulae and
neutral losses, and the decoder is a discrete graph diffusion model restricted
by the heavy-atom composition of a known chemical formula. To develop a robust
decoder that bridges latent embeddings and molecular structures, we pretrain
the diffusion decoder with fingerprint-structure pairs, which are available in
virtually infinite quantities, compared to structure-spectrum pairs that number
in the tens of thousands. Extensive experiments on established benchmarks show
that DiffMS outperforms existing models on $\textit{de novo}$ molecule
generation. We provide several ablations to demonstrate the effectiveness of
our diffusion and pretraining approaches and show consistent performance
scaling with increasing pretraining dataset size. DiffMS code is publicly
available at https://github.com/coleygroup/DiffMS.","Montgomery Bohde, Mrunali Manjrekar, Runzhong Wang, Shuiwang Ji, Connor W. Coley",2025-02-13 18:29:48.000000,arXiv,http://arxiv.org/abs/2502.09571v1,Machine Learning
