title,abstract,url,domain_task,keywords
Ensemble based approach to quantifying uncertainty of LLM based classifications,"The output of Large Language Models (LLMs) are a function of the internal
model's parameters and the input provided into the context window. The
hypothesis presented here is that under a greedy sampling strategy the variance
in the LLM's output is a function of the conceptual certainty embedded in the
model's parametric knowledge, as well as the lexical variance in the input.
Finetuning the model results in reducing the sensitivity of the model output to
the lexical input variations. This is then applied to a classification problem
and a probabilistic method is proposed for estimating the certainties of the
predicted classes.",http://arxiv.org/abs/2502.08631v1,Natural Language Processing,"model, output, input, function, variance"
Concentration Inequalities for the Stochastic Optimization of Unbounded Objectives with Application to Denoising Score Matching,"We derive novel concentration inequalities that bound the statistical error
for a large class of stochastic optimization problems, focusing on the case of
unbounded objective functions. Our derivations utilize the following tools: 1)
A new form of McDiarmid's inequality that is based on sample dependent one
component difference bounds and which leads to a novel uniform law of large
numbers result for unbounded functions. 2) A Rademacher complexity bound for
families of functions that satisfy an appropriate local Lipschitz property. As
an application of these results, we derive statistical error bounds for
denoising score matching (DSM), an application that inherently requires one to
consider unbounded objective functions, even when the data distribution has
bounded support. In addition, our results establish the benefit of sample reuse
in algorithms that employ easily sampled auxiliary random variables in addition
to the training data, e.g., as in DSM, which uses auxiliary Gaussian random
variables.",http://arxiv.org/abs/2502.08628v1,Recommendation System,"functions, unbounded, derive, novel, bound"
Randomness of Low-Layer Parameters Determines Confusing Samples in Terms of Interaction Representations of a DNN,"In this paper, we find that the complexity of interactions encoded by a deep
neural network (DNN) can explain its generalization power. We also discover
that the confusing samples of a DNN, which are represented by non-generalizable
interactions, are determined by its low-layer parameters. In comparison, other
factors, such as high-layer parameters and network architecture, have much less
impact on the composition of confusing samples. Two DNNs with different
low-layer parameters usually have fully different sets of confusing samples,
even though they have similar performance. This finding extends the
understanding of the lottery ticket hypothesis, and well explains distinctive
representation power of different DNNs.",http://arxiv.org/abs/2502.08625v1,Recommendation System,"confusing, samples, layer, parameters, different"
Forecasting Drought Using Machine Learning in California,"Drought is a frequent and costly natural disaster in California, with major
negative impacts on agricultural production and water resource availability,
particularly groundwater. This study investigated the performance of applying
different machine learning approaches to predicting the U.S. Drought Monitor
classification in California. Four approaches were used: a convolutional neural
network (CNN), random forest, XGBoost, and long short term memory (LSTM)
recurrent neural network, and compared to a baseline persistence model. We
evaluated the models' performance in predicting severe drought (USDM drought
category D2 or higher) using a macro F1 binary classification metric. The LSTM
model emerged as the top performer, followed by XGBoost, CNN, and random
forest. Further evaluation of our results at the county level suggested that
the LSTM model would perform best in counties with more consistent drought
patterns and where severe drought was more common, and the LSTM model would
perform worse where drought scores increased rapidly. Utilizing 30 weeks of
historical data, the LSTM model successfully forecasted drought scores for a
12-week period with a Mean Absolute Error (MAE) of 0.33, equivalent to less
than half a drought category on a scale of 0 to 5. Additionally, the LSTM
achieved a macro F1 score of 0.9, indicating high accuracy in binary
classification for severe drought conditions. Evaluation of different window
and future horizon sizes in weeks suggested that at least 24 weeks of data
would result in the best performance, with best performance for shorter horizon
sizes, particularly less than eight weeks.",http://arxiv.org/abs/2502.08622v1,Recommendation System,"drought, lstm, model, performance, weeks"
Mathematical Data Science,"Can machine learning help discover new mathematical structures? In this
article we discuss an approach to doing this which one can call ""mathematical
data science"". In this paradigm, one studies mathematical objects collectively
rather than individually, by creating datasets and doing machine learning
experiments and interpretations. After an overview, we present two case
studies: murmurations in number theory and loadings of partitions related to
Kronecker coefficients in representation theory and combinatorics.",http://arxiv.org/abs/2502.08620v1,Recommendation System,"mathematical, machine, learning, studies, theory"
Continuous Cardiac Arrest Prediction in ICU using PPG Foundation Model,"Non-invasive patient monitoring for tracking and predicting adverse acute
health events is an emerging area of research. We pursue in-hospital cardiac
arrest (IHCA) prediction using only single-channel finger photoplethysmography
(PPG) signals. Our proposed two-stage model Feature Extractor-Aggregator
Network (FEAN) leverages powerful representations from pre-trained PPG
foundation models (PPG-GPT of size up to 1 Billion) stacked with sequential
classification models. We propose two FEAN variants (""1H"", ""FH"") which use the
latest one-hour and (max) 24-hour history to make decisions respectively. Our
study is the first to present IHCA prediction results in ICU patients using
only unimodal (continuous PPG signal) waveform deep representations. With our
best model, we obtain an average of 0.79 AUROC over 24~h prediction window
before CA event onset with our model peaking performance at 0.82 one hour
before CA. We also provide a comprehensive analysis of our model through
architectural tuning and PaCMAP visualization of patient health trajectory in
latent space.",http://arxiv.org/abs/2502.08612v1,Recommendation System,"ppg, model, prediction, hour, patient"
Robustly Learning Monotone Generalized Linear Models via Data Augmentation,"We study the task of learning Generalized Linear models (GLMs) in the
agnostic model under the Gaussian distribution. We give the first
polynomial-time algorithm that achieves a constant-factor approximation for
\textit{any} monotone Lipschitz activation. Prior constant-factor GLM learners
succeed for a substantially smaller class of activations. Our work resolves a
well-known open problem, by developing a robust counterpart to the classical
GLMtron algorithm (Kakade et al., 2011). Our robust learner applies more
generally, encompassing all monotone activations with bounded
$(2+\zeta)$-moments, for any fixed $\zeta>0$ -- a condition that is essentially
necessary. To obtain our results, we leverage a novel data augmentation
technique with decreasing Gaussian noise injection and prove a number of
structural results that may be useful in other settings.",http://arxiv.org/abs/2502.08611v1,Recommendation System,"gaussian, algorithm, constant, factor, monotone"
Quantifying Security Vulnerabilities: A Metric-Driven Security Analysis of Gaps in Current AI Standards,"As AI systems integrate into critical infrastructure, security gaps in AI
compliance frameworks demand urgent attention. This paper audits and quantifies
security risks in three major AI governance standards: NIST AI RMF 1.0, UK's AI
and Data Protection Risk Toolkit, and the EU's ALTAI. Using a novel risk
assessment methodology, we develop four key metrics: Risk Severity Index (RSI),
Attack Potential Index (AVPI), Compliance-Security Gap Percentage (CSGP), and
Root Cause Vulnerability Score (RCVS). Our analysis identifies 136 concerns
across the frameworks, exposing significant gaps. NIST fails to address 69.23
percent of identified risks, ALTAI has the highest attack vector vulnerability
(AVPI = 0.51) and the ICO Toolkit has the largest compliance-security gap, with
80.00 percent of high-risk concerns remaining unresolved. Root cause analysis
highlights under-defined processes (ALTAI RCVS = 033) and weak implementation
guidance (NIST and ICO RCVS = 0.25) as critical weaknesses. These findings
emphasize the need for stronger, enforceable security controls in AI
compliance. We offer targeted recommendations to enhance security posture and
bridge the gap between compliance and real-world AI risks.",http://arxiv.org/abs/2502.08610v1,Recommendation System,"ai, security, compliance, risk, risks"
Distillation Scaling Laws,"We provide a distillation scaling law that estimates distilled model
performance based on a compute budget and its allocation between the student
and teacher. Our findings reduce the risks associated with using distillation
at scale; compute allocation for both the teacher and student models can now be
done to maximize student performance. We provide compute optimal distillation
recipes for when 1) a teacher exists, or 2) a teacher needs training. If many
students are to be distilled, or a teacher already exists, distillation
outperforms supervised pretraining until a compute level which grows
predictably with student size. If one student is to be distilled and a teacher
also needs training, supervised learning should be done instead. Additionally,
we provide insights across our large scale study of distillation, which
increase our understanding of distillation and inform experimental design.",http://arxiv.org/abs/2502.08606v1,Recommendation System,"distillation, teacher, student, compute, provide"
CurvGAD: Leveraging Curvature for Enhanced Graph Anomaly Detection,"Does the intrinsic curvature of complex networks hold the key to unveiling
graph anomalies that conventional approaches overlook? Reconstruction-based
graph anomaly detection (GAD) methods overlook such geometric outliers,
focusing only on structural and attribute-level anomalies. To this end, we
propose CurvGAD - a mixed-curvature graph autoencoder that introduces the
notion of curvature-based geometric anomalies. CurvGAD introduces two parallel
pipelines for enhanced anomaly interpretability: (1) Curvature-equivariant
geometry reconstruction, which focuses exclusively on reconstructing the edge
curvatures using a mixed-curvature, Riemannian encoder and Gaussian
kernel-based decoder; and (2) Curvature-invariant structure and attribute
reconstruction, which decouples structural and attribute anomalies from
geometric irregularities by regularizing graph curvature under discrete
Ollivier-Ricci flow, thereby isolating the non-geometric anomalies. By
leveraging curvature, CurvGAD refines the existing anomaly classifications and
identifies new curvature-driven anomalies. Extensive experimentation over 10
real-world datasets (both homophilic and heterophilic) demonstrates an
improvement of up to 6.5% over state-of-the-art GAD methods.",http://arxiv.org/abs/2502.08605v1,Recommendation System,"curvature, anomalies, graph, geometric, reconstruction"
Scalable Thermodynamic Second-order Optimization,"Many hardware proposals have aimed to accelerate inference in AI workloads.
Less attention has been paid to hardware acceleration of training, despite the
enormous societal impact of rapid training of AI models. Physics-based
computers, such as thermodynamic computers, offer an efficient means to solve
key primitives in AI training algorithms. Optimizers that normally would be
computationally out-of-reach (e.g., due to expensive matrix inversions) on
digital hardware could be unlocked with physics-based hardware. In this work,
we propose a scalable algorithm for employing thermodynamic computers to
accelerate a popular second-order optimizer called Kronecker-factored
approximate curvature (K-FAC). Our asymptotic complexity analysis predicts
increasing advantage with our algorithm as $n$, the number of neurons per
layer, increases. Numerical experiments show that even under significant
quantization noise, the benefits of second-order optimization can be preserved.
Finally, we predict substantial speedups for large-scale vision and graph
problems based on realistic hardware characteristics.",http://arxiv.org/abs/2502.08603v1,Recommendation System,"hardware, ai, training, based, computers"
Two-stage hybrid models for enhancing forecasting accuracy on heterogeneous time series,"Compared to local models built in a series-by-series manner, global models
leverage relevant information across time series, resulting in improved
forecasting performance and generalization capacity. Constructing global models
on a set of time series is becoming mainstream in the field of time series
forecasting. However, the advantages of global models may not always be
realized when dealing with heterogeneous data. While they can adapt to
heterogeneous datasets by increasing the model complexity, the model cannot be
infinitely complex due to the finite sample size, which poses challenges for
the application of global models. Additionally, determining whether the time
series data is homogeneous or heterogeneous can be ambiguous in practice. To
address these research gaps, this paper argues that the heterogeneity of the
data should be defined by the global model used, and for each series, the
portion not modelled by the global model represents heterogeneity. It further
proposes two-stage hybrid models, which include a second stage to identify and
model heterogeneous patterns. In this second stage, we can estimate either all
local models or sub-global models across different domains divided based on
heterogeneity. Experiments on four open datasets reveal that the proposed
methods significantly outperform five existing models, indicating they
contribute to fully unleash the potential of global models on heterogeneous
datasets.",http://arxiv.org/abs/2502.08600v1,Recommendation System,"models, global, series, heterogeneous, model"
Enhancing Diffusion Models Efficiency by Disentangling Total-Variance and Signal-to-Noise Ratio,"The long sampling time of diffusion models remains a significant bottleneck,
which can be mitigated by reducing the number of diffusion time steps. However,
the quality of samples with fewer steps is highly dependent on the noise
schedule, i.e., the specific manner in which noise is introduced and the signal
is reduced at each step. Although prior work has improved upon the original
variance-preserving and variance-exploding schedules, these approaches
$\textit{passively}$ adjust the total variance, without direct control over it.
In this work, we propose a novel total-variance/signal-to-noise-ratio
disentangled (TV/SNR) framework, where TV and SNR can be controlled
independently. Our approach reveals that different existing schedules, where
the TV explodes exponentially, can be $\textit{improved}$ by setting a constant
TV schedule while preserving the same SNR schedule. Furthermore, generalizing
the SNR schedule of the optimal transport flow matching significantly improves
the performance in molecular structure generation, achieving few step
generation of stable molecules. A similar tendency is observed in image
generation, where our approach with a uniform diffusion time grid performs
comparably to the highly tailored EDM sampler.",http://arxiv.org/abs/2502.08598v1,Recommendation System,"schedule, variance, tv, snr, time"
Learning in Markets with Heterogeneous Agents: Dynamics and Survival of Bayesian vs. No-Regret Learners,"We analyze the performance of heterogeneous learning agents in asset markets
with stochastic payoffs. Our agents aim to maximize the expected growth rate of
their wealth but have different theories on how to learn this best. We focus on
comparing Bayesian and no-regret learners in market dynamics. Bayesian learners
with a prior over a finite set of models that assign positive prior probability
to the correct model have posterior probabilities that converge exponentially
to the correct model. Consequently, they survive even in the presence of agents
who invest according to the correct model of the stochastic process. Bayesians
with a continuum prior converge to the correct model at a rate of $O((\log
T)/T)$. Online learning theory provides no-regret algorithms for maximizing the
log of wealth in this setting, achieving a worst-case regret bound of $O(\log
T)$ without assuming a steady underlying stochastic process but comparing to
the best fixed investment rule. This regret, as we observe, is of the same
order of magnitude as that of a Bayesian learner with a continuum prior.
However, we show that even such low regret may not be sufficient for survival
in asset markets: an agent can have regret as low as $O(\log T)$, but still
vanish in market dynamics when competing against agents who invest according to
the correct model or even against a perfect Bayesian with a finite prior. On
the other hand, we show that Bayesian learning is fragile, while no-regret
learning requires less knowledge of the environment and is therefore more
robust. Any no-regret learner will drive out of the market an imperfect
Bayesian whose finite prior or update rule has even small errors. We formally
establish the relationship between notions of survival, vanishing, and market
domination studied in economics and the framework of regret minimization, thus
bridging these theories.",http://arxiv.org/abs/2502.08597v1,Recommendation System,"regret, bayesian, prior, correct, model"
Toward Universal Laws of Outlier Propagation,"We argue that Algorithmic Information Theory (AIT) admits a principled way to
quantify outliers in terms of so-called randomness deficiency. For the
probability distribution generated by a causal Bayesian network, we show that
the randomness deficiency of the joint state decomposes into randomness
deficiencies of each causal mechanism, subject to the Independence of
Mechanisms Principle. Accordingly, anomalous joint observations can be
quantitatively attributed to their root causes, i.e., the mechanisms that
behaved anomalously. As an extension of Levin's law of randomness conservation,
we show that weak outliers cannot cause strong ones when Independence of
Mechanisms holds. We show how these information theoretic laws provide a better
understanding of the behaviour of outliers defined with respect to existing
scores.",http://arxiv.org/abs/2502.08593v1,Recommendation System,"randomness, outliers, mechanisms, information, deficiency"
Light-A-Video: Training-free Video Relighting via Progressive Light Fusion,"Recent advancements in image relighting models, driven by large-scale
datasets and pre-trained diffusion models, have enabled the imposition of
consistent lighting. However, video relighting still lags, primarily due to the
excessive training costs and the scarcity of diverse, high-quality video
relighting datasets. A simple application of image relighting models on a
frame-by-frame basis leads to several issues: lighting source inconsistency and
relighted appearance inconsistency, resulting in flickers in the generated
videos. In this work, we propose Light-A-Video, a training-free approach to
achieve temporally smooth video relighting. Adapted from image relighting
models, Light-A-Video introduces two key techniques to enhance lighting
consistency. First, we design a Consistent Light Attention (CLA) module, which
enhances cross-frame interactions within the self-attention layers to stabilize
the generation of the background lighting source. Second, leveraging the
physical principle of light transport independence, we apply linear blending
between the source video's appearance and the relighted appearance, using a
Progressive Light Fusion (PLF) strategy to ensure smooth temporal transitions
in illumination. Experiments show that Light-A-Video improves the temporal
consistency of relighted video while maintaining the image quality, ensuring
coherent lighting transitions across frames. Project page:
https://bujiazi.github.io/light-a-video.github.io/.",http://arxiv.org/abs/2502.08590v1,Recommendation System,"video, relighting, light, lighting, image"
Commercial LLM Agents Are Already Vulnerable to Simple Yet Dangerous Attacks,"A high volume of recent ML security literature focuses on attacks against
aligned large language models (LLMs). These attacks may extract private
information or coerce the model into producing harmful outputs. In real-world
deployments, LLMs are often part of a larger agentic pipeline including memory
systems, retrieval, web access, and API calling. Such additional components
introduce vulnerabilities that make these LLM-powered agents much easier to
attack than isolated LLMs, yet relatively little work focuses on the security
of LLM agents. In this paper, we analyze security and privacy vulnerabilities
that are unique to LLM agents. We first provide a taxonomy of attacks
categorized by threat actors, objectives, entry points, attacker observability,
attack strategies, and inherent vulnerabilities of agent pipelines. We then
conduct a series of illustrative attacks on popular open-source and commercial
agents, demonstrating the immediate practical implications of their
vulnerabilities. Notably, our attacks are trivial to implement and require no
understanding of machine learning.",http://arxiv.org/abs/2502.08586v1,Natural Language Processing,"attacks, vulnerabilities, agents, security, llms"
Scalable Bilevel Loss Balancing for Multi-Task Learning,"Multi-task learning (MTL) has been widely adopted for its ability to
simultaneously learn multiple tasks. While existing gradient manipulation
methods often yield more balanced solutions than simple scalarization-based
approaches, they typically incur a significant computational overhead of
$\mathcal{O}(K)$ in both time and memory, where $K$ is the number of tasks. In
this paper, we propose BiLB4MTL, a simple and scalable loss balancing approach
for MTL, formulated from a novel bilevel optimization perspective. Our method
incorporates three key components: (i) an initial loss normalization, (ii) a
bilevel loss-balancing formulation, and (iii) a scalable first-order algorithm
that requires only $\mathcal{O}(1)$ time and memory. Theoretically, we prove
that BiLB4MTL guarantees convergence not only to a stationary point of the
bilevel loss balancing problem but also to an $\epsilon$-accurate Pareto
stationary point for all $K$ loss functions under mild conditions. Extensive
experiments on diverse multi-task datasets demonstrate that BiLB4MTL achieves
state-of-the-art performance in both accuracy and efficiency. Code is available
at https://github.com/OptMN-Lab/-BiLB4MTL.",http://arxiv.org/abs/2502.08585v1,Recommendation System,"loss, balancing, bilevel, multi, task"
A method for classification of data with uncertainty using hypothesis testing,"Binary classification is a task that involves the classification of data into
one of two distinct classes. It is widely utilized in various fields. However,
conventional classifiers tend to make overconfident predictions for data that
belong to overlapping regions of the two class distributions or for data
outside the distributions (out-of-distribution data). Therefore, conventional
classifiers should not be applied in high-risk fields where classification
results can have significant consequences. In order to address this issue, it
is necessary to quantify uncertainty and adopt decision-making approaches that
take it into account. Many methods have been proposed for this purpose;
however, implementing these methods often requires performing resampling,
improving the structure or performance of models, and optimizing the thresholds
of classifiers. We propose a new decision-making approach using two types of
hypothesis testing. This method is capable of detecting ambiguous data that
belong to the overlapping regions of two class distributions, as well as
out-of-distribution data that are not included in the training data
distribution. In addition, we quantify uncertainty using the empirical
distribution of feature values derived from the training data obtained through
the trained model. The classification threshold is determined by the
$\alpha$-quantile and ($1-\alpha$)-quantile, where the significance level
$\alpha$ is set according to each specific situation.",http://arxiv.org/abs/2502.08582v1,Recommendation System,"data, classification, distribution, classifiers, distributions"
